screen_no,legacy_screen,module,current_web_status,current_flutter_status,target,wave,target_route,implementation_status,code_evidence,api_evidence,migration_evidence,test_evidence,visual_evidence,uat_evidence,commit_hash,notes
01,Data Supplier,Master Supplier,Operasional,Operasional,Paritas fungsional 100%,Gelombang 1 — Master pihak dan sales,/app/master/suppliers,COMPLETE,InventoryPartyMasterPage + InventoryPartyMasterPage Flutter,/suppliers,V050,API+Flutter widget+route tests,inventory-party-master-desktop.png,wave-1-master-parties.md,,CRUD lifecycle dan field legacy
02,Membuka Daftar Supplier,Master Supplier,Operasional,Operasional,Paritas fungsional 100%,Gelombang 1 — Master pihak dan sales,/app/master/suppliers?panel=list,COMPLETE,Filter saldo/lunas responsif,/inventory/party-master-balances/suppliers,V050,Flutter golden,inventory-party-master-desktop.png,wave-1-master-parties.md,,Daftar dan pencarian operasional
03,Menutup Daftar Supplier,Master Supplier,Operasional,Operasional,Paritas fungsional 100%,Gelombang 1 — Master pihak dan sales,/app/master/suppliers?panel=detail,COMPLETE,Detail fokus mobile dan navigasi record,/suppliers/:id/audit,V050,Flutter widget,inventory-party-master-desktop.png,wave-1-master-parties.md,,Detail dapat ditutup tanpa kehilangan daftar
04,Data Customer,Master Customer,Operasional,Operasional,Paritas fungsional 100%,Gelombang 1 — Master pihak dan sales,/app/master/customers,COMPLETE,InventoryPartyMasterPage + InventoryPartyMasterPage Flutter,/customers,V050,API+Flutter widget+route tests,inventory-party-master-desktop.png,wave-1-master-parties.md,,Termin diskon kredit wilayah dan rekening
05,Membuka Daftar Customer,Master Customer,Operasional,Operasional,Paritas fungsional 100%,Gelombang 1 — Master pihak dan sales,/app/master/customers?panel=list,COMPLETE,Filter saldo/lunas responsif,/inventory/party-master-balances/customers,V050,Flutter golden,inventory-party-master-desktop.png,wave-1-master-parties.md,,Saldo piutang terintegrasi
06,Menutup Daftar Customer,Master Customer,Operasional,Operasional,Paritas fungsional 100%,Gelombang 1 — Master pihak dan sales,/app/master/customers?panel=detail,COMPLETE,Detail fokus mobile dan navigasi record,/customers/:id/audit,V050,Flutter widget,inventory-party-master-desktop.png,wave-1-master-parties.md,,Unsaved-change guard aktif
07,Data Sales atau Penjual Keliling,Master Sales,Operasional,Operasional,Paritas fungsional 100%,Gelombang 1 — Master pihak dan sales,/app/master/salespeople,COMPLETE,Master sales target wilayah dan akun,/salespeople + /inventory/party-master-balances/salespeople,V050,API+Flutter widget+route tests,inventory-party-master-desktop.png,wave-1-master-parties.md,,Proyeksi map sales legacy idempoten
08,Data Stok Barang,Persediaan,Operasional,Baca saja,Paritas fungsional 100%,"Gelombang 2 — Persediaan, opname, harga, cetak/ekspor",/app/inventory/stock,NOT_STARTED,,,,,,,,
09,Laporan Opname,Stok Opname,Operasional,Kontrak,Paritas fungsional 100%,"Gelombang 2 — Persediaan, opname, harga, cetak/ekspor",/app/inventory/stock-opnames,NOT_STARTED,,,,,,,,
10,Mencetak Laporan Opname,Stok Opname,Baca saja,Kontrak,Paritas fungsional 100%,"Gelombang 2 — Persediaan, opname, harga, cetak/ekspor",/app/inventory/stock-opnames/report,NOT_STARTED,,,,,,,,
11,Harga Beli dan Harga Jual,Analisis Harga,Baca saja,Kontrak,Paritas fungsional 100%,"Gelombang 2 — Persediaan, opname, harga, cetak/ekspor",/app/pricing/analysis,NOT_STARTED,,,,,,,,
12,Memilih dan Menjalankan Cetak Harga Beli/Jual,Analisis Harga,Baca saja,Kontrak,Paritas fungsional 100%,"Gelombang 2 — Persediaan, opname, harga, cetak/ekspor",/app/pricing/analysis/report,NOT_STARTED,,,,,,,,
13,Mencetak Harga Jual,Harga Jual,Baca saja,Kontrak,Paritas fungsional 100%,"Gelombang 2 — Persediaan, opname, harga, cetak/ekspor",/app/pricing/sales/report,NOT_STARTED,,,,,,,,
14,Mengekspor Data Harga/Stok ke Excel,Ekspor Data,Baca saja,Kontrak,Paritas fungsional 100%,"Gelombang 2 — Persediaan, opname, harga, cetak/ekspor",/app/inventory/exports,NOT_STARTED,,,,,,,,
15,Mencetak Daftar Stok,Laporan Persediaan,Baca saja,Kontrak,Paritas fungsional 100%,"Gelombang 2 — Persediaan, opname, harga, cetak/ekspor",/app/inventory/reports/stock,NOT_STARTED,,,,,,,,
16,Hasil Cetak Stok,Laporan Persediaan,Baca saja,Kontrak,Paritas fungsional 100%,"Gelombang 2 — Persediaan, opname, harga, cetak/ekspor",/app/inventory/reports/stock?mode=preview,NOT_STARTED,,,,,,,,
17,Menu Master Harga,Master Harga,Operasional,Kontrak,Paritas fungsional 100%,"Gelombang 2 — Persediaan, opname, harga, cetak/ekspor",/app/pricing,NOT_STARTED,,,,,,,,
18,Master Harga Beli per Supplier,Master Harga Beli,Operasional,Kontrak,Paritas fungsional 100%,"Gelombang 2 — Persediaan, opname, harga, cetak/ekspor",/app/pricing/purchase,NOT_STARTED,,,,,,,,
19,Master Harga Jual per Customer,Master Harga Jual,Operasional,Kontrak,Paritas fungsional 100%,"Gelombang 2 — Persediaan, opname, harga, cetak/ekspor",/app/pricing/sales,NOT_STARTED,,,,,,,,
20,Proses Pembelian Barang dari Supplier,Pembelian,Operasional,Kontrak,Paritas fungsional 100%,Gelombang 3 — Pembelian dan hutang dagang,/app/purchasing/invoices,NOT_STARTED,,,,,,,,
21,Tombol Hutang pada Pembelian,Hutang Dagang,Baca saja,Baca saja,Paritas fungsional 100%,Gelombang 3 — Pembelian dan hutang dagang,/app/finance/ap/open-items?source=purchase,NOT_STARTED,,,,,,,,
22,Data Hutang Supplier,Hutang Dagang,Baca saja,Baca saja,Paritas fungsional 100%,Gelombang 3 — Pembelian dan hutang dagang,/app/finance/ap/open-items,NOT_STARTED,,,,,,,,
23,Menampilkan Hutang yang Sudah Lunas,Hutang Dagang,Baca saja,Kontrak,Paritas fungsional 100%,Gelombang 3 — Pembelian dan hutang dagang,/app/finance/ap/open-items?includeSettled=true,NOT_STARTED,,,,,,,,
24,Pembayaran Hutang,Pembayaran Hutang,Operasional,Operasional,Paritas fungsional 100%,Gelombang 3 — Pembelian dan hutang dagang,/app/finance/ap/payments/new,NOT_STARTED,,,,,,,,
25,Melihat Pembayaran Hutang,Riwayat Pembayaran Hutang,Baca saja,Baca saja,Paritas fungsional 100%,Gelombang 3 — Pembelian dan hutang dagang,/app/finance/ap/payments,NOT_STARTED,,,,,,,,
26,Mencetak Pembayaran Hutang,Laporan Pembayaran Hutang,Baca saja,Kontrak,Paritas fungsional 100%,Gelombang 3 — Pembelian dan hutang dagang,/app/finance/ap/payments/report,NOT_STARTED,,,,,,,,
27,Analisis Hutang,Analisis Hutang,Baca saja,Kontrak,Paritas fungsional 100%,Gelombang 3 — Pembelian dan hutang dagang,/app/finance/ap/analysis,NOT_STARTED,,,,,,,,
28,Mencetak Faktur Pembelian Barang,Cetak Pembelian,Baca saja,Kontrak,Paritas fungsional 100%,Gelombang 3 — Pembelian dan hutang dagang,/app/purchasing/invoices/:id/print,NOT_STARTED,,,,,,,,
29,Mencetak Laporan Pembelian per Periode,Laporan Pembelian,Baca saja,Kontrak,Paritas fungsional 100%,Gelombang 3 — Pembelian dan hutang dagang,/app/purchasing/reports/purchases,NOT_STARTED,,,,,,,,
30,Menu Penjualan,Penjualan,Operasional,Operasional,Paritas fungsional 100%,"Gelombang 4 — Penjualan, piutang, penerimaan, dan nota sales",/app/sales/invoices,NOT_STARTED,,,,,,,,
31,Membuka Piutang dari Menu Penjualan,Piutang Dagang,Baca saja,Baca saja,Paritas fungsional 100%,"Gelombang 4 — Penjualan, piutang, penerimaan, dan nota sales",/app/finance/ar/open-items?source=sales,NOT_STARTED,,,,,,,,
